State,Selected meteorological station ,Height above mean sea level in metres,Year,Mean temperature-Min (oC),Mean temperature-Max (oC),Rainfall-Total (mm),Rainfall-No. of days,Mean relative humidity (%)
Pulau Pinang,Butterworth,(3.3m),2010,24.9,32.2,2015.8,170.0,80.1
Sabah,Kota Kinabalu,(2.1m),2010,24.3,32.4,3394.6,200.0,81.5
Sabah,Kudat,(3.5m),2010,24.4,31.4,1830.6,165.0,82.2
Sabah,Sandakan,(12.1m),2010,24.6,31.7,2178.4,167.0,80.9
Sabah,Tawau,(17.5m),2010,23.9,31.9,1674.6,160.0,80.5
Sarawak,Kuching,(20.9m),2010,23.6,31.6,4564.2,261.0,85.6
Sarawak,Miri ,(17.0m),2010,23.9,30.9,3086.9,206.0,82.8
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2010,24.3,32.0,2264.8,192.0,83.4
Selangor,Subang,(16.6m),2010,25.1,33.8,3105.0,215.0,79.6
Terengganu,Kuala Terengganu,(5.2m),2010,24.5,31.5,2363.2,170.0,80.7
Wilayah Persekutuan Labuan,Labuan,(27.9m),2010,25.0,31.3,4628.6,218.0,83.8
Johor,Senai,(37.8m),2011,23.5,31.7,2702.6,202.0,85.2
Johor,Kluang,(88.1m),2011,23.1,31.2,3027.6,198.0,87.1
Kedah,Alor Setar,(3.9m),2011,24.3,32.5,1968.2,165.0,81.4
Kedah,Pulau Langkawi,(6.4m),2011,25.1,31.8,2577.0,176.0,80.0
Kelantan,Kota Bharu,(4.4m),2011,24.0,30.8,3459.8,180.0,80.6
Kelantan,Kuala Krai,(34.9 m),2011,22.7,31.5,3266.2,210.0,85.8
Melaka,Melaka,(8.5m),2011,24.1,31.6,1845.2,170.0,82.0
Pahang,Kuantan,(15.2m),2011,23.5,31.6,3242.6,188.0,85.6
Pahang,Cameron Highlands,"(1,545.0m)",2011,15.2,22.0,3310.1,249.0,90.5
Perak,Ipoh,(40.1m),2011,23.7,32.4,2582.3,191.0,82.5
Perak,Sitiawan,(6.8m),2011,23.9,31.9,2471.1,171.0,82.8
Perlis,Chuping  ,(21.7m),2011,23.8,32.5,2162.0,164.0,80.3
Pulau Pinang,Bayan Lepas,(2.5 m),2011,24.8,31.4,2297.8,177.0,81.3
Pulau Pinang,Butterworth,(3.3m),2011,24.6,31.8,2525.6,170.0,80.2
Sabah,Kota Kinabalu,(2.1m),2011,24.2,32.1,2782.2,216.0,81.1
Sabah,Kudat,(3.5m),2011,23.8,30.6,4221.1,233.0,84.0
Sabah,Sandakan,(12.1m),2011,24.2,31.1,5403.4,239.0,84.5
Sabah,Tawau,(17.5m),2011,23.7,31.3,2239.0,201.0,82.3
Sarawak,Kuching,(20.9m),2011,23.3,31.7,4616.4,244.0,85.5
Sarawak,Miri ,(17.0m),2011,23.8,30.9,3246.0,200.0,83.9
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2011,24.1,31.7,1632.4,178.0,83.6
Selangor,Subang,(16.6m),2011,25.1,33.3,2668.4,205.0,80.7
Terengganu,Kuala Terengganu,(5.2m),2011,24.4,30.9,3645.4,189.0,84.3
Wilayah Persekutuan Labuan,Labuan,(27.9m),2011,24.7,30.9,3410.8,218.0,82.9
Johor,Senai,(37.8m),2012,23.4,31.8,2810.0,197.0,86.5
Johor,Kluang,(88.1m),2012,23.5,32.1,1890.0,183.0,85.9
Kedah,Alor Setar,(3.9m),2012,24.3,32.4,2850.0,188.0,83.5
Kedah,Pulau Langkawi,(6.4m),2012,25.0,31.7,2310.4,201.0,80.8
Kelantan,Kota Bharu,(4.4m),2012,24.1,31.0,3139.0,171.0,82.0
Kelantan,Kuala Krai,(34.9 m),2012,23.3,32.5,2454.8,193.0,84.5
Melaka,Melaka,(8.5m),2012,24.1,31.7,1883.2,177.0,82.8
Pahang,Kuantan,(15.2m),2012,23.4,31.7,3283.8,205.0,87.1
Pahang,Cameron Highlands,"(1,545.0m)",2012,15.5,22.5,2861.4,239.0,90.8
Perak,Ipoh,(40.1m),2012,24.0,32.8,2778.6,196.0,79.3
Perak,Sitiawan,(6.8m),2012,24.0,32.0,1833.8,181.0,83.8
Perlis,Chuping  ,(21.7m),2012,23.9,32.7,2065.6,178.0,84.9
Pulau Pinang,Bayan Lepas,(2.5 m),2012,24.9,31.5,2294.6,191.0,80.2
Pulau Pinang,Butterworth,(3.3m),2012,24.5,31.7,2250.8,181.0,80.9
Sabah,Kota Kinabalu,(2.1m),2012,24.1,32.4,2543.4,195.0,81.5
Sabah,Kudat,(3.5m),2012,24.0,31.1,2666.5,212.0,83.3
Sabah,Sandakan,(12.1m),2012,24.3,31.6,3792.4,217.0,84.4
Sabah,Tawau,(17.5m),2012,23.6,31.4,2421.2,199.0,80.3
Sarawak,Kuching,(20.9m),2012,23.5,32.4,3835.8,247.0,84.3
Sarawak,Miri ,(17.0m),2012,23.8,31.2,2696.8,203.0,82.0
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2012,24.2,31.9,2271.4,186.0,82.1
Selangor,Subang,(16.6m),2012,24.9,33.4,3100.5,191.0,80.9
Terengganu,Kuala Terengganu,(5.2m),2012,24.5,31.3,3094.4,197.0,84.5
Wilayah Persekutuan Labuan,Labuan,(27.9m),2012,24.9,31.7,3323.4,191.0,83.6
Johor,Senai,(37.8m),2013,23.9,32.2,2880.9,210.0,85.3
